_id.stationId,_id.outageYear,_id.outageMonth,_id.outageDay,stop_name,line_code
"60","2014","08","20","Allegheny Station","MFL"
"60","2014","09","16","Allegheny Station","MFL"
"60","2014","09","28","Allegheny Station","MFL"
"60","2014","10","11","Allegheny Station","MFL"
"60","2014","10","12","Allegheny Station","MFL"
"60","2014","10","14","Allegheny Station","MFL"
"60","2014","11","14","Allegheny Station","MFL"
"60","2014","11","15","Allegheny Station","MFL"
"60","2014","11","16","Allegheny Station","MFL"
"60","2014","11","17","Allegheny Station","MFL"
"60","2014","11","23","Allegheny Station","MFL"
"60","2014","12","26","Allegheny Station","MFL"
"60","2014","12","27","Allegheny Station","MFL"
"60","2014","12","31","Allegheny Station","MFL"
"60","2015","01","01","Allegheny Station","MFL"
"61","2014","06","14","Frankford Transportation Center","MFL"
"61","2014","06","15","Frankford Transportation Center","MFL"
"61","2014","06","16","Frankford Transportation Center","MFL"
"61","2014","07","14","Frankford Transportation Center","MFL"
"61","2014","07","15","Frankford Transportation Center","MFL"
"61","2014","08","20","Frankford Transportation Center","MFL"
"61","2014","08","25","Frankford Transportation Center","MFL"
"61","2014","08","26","Frankford Transportation Center","MFL"
"61","2014","09","07","Frankford Transportation Center","MFL"
"61","2014","09","08","Frankford Transportation Center","MFL"
"61","2014","09","09","Frankford Transportation Center","MFL"
"61","2014","09","17","Frankford Transportation Center","MFL"
"61","2014","10","24","Frankford Transportation Center","MFL"
"797","2014","06","11","Somerset Station","MFL"
"797","2014","09","08","Somerset Station","MFL"
"797","2014","12","16","Somerset Station","MFL"
"82","2014","10","15","Olney Transportation Center","BSS"
"82","2014","10","16","Olney Transportation Center","BSS"
"82","2014","10","25","Olney Transportation Center","BSS"
"82","2014","10","26","Olney Transportation Center","BSS"
"82","2014","10","29","Olney Transportation Center","BSS"
"82","2014","10","30","Olney Transportation Center","BSS"
"82","2014","11","21","Olney Transportation Center","BSS"
"838","2014","05","11","Erie Torresdale Station","MFL"
"838","2014","05","12","Erie Torresdale Station","MFL"
"838","2014","07","11","Erie Torresdale Station","MFL"
"838","2014","07","26","Erie Torresdale Station","MFL"
"838","2014","07","27","Erie Torresdale Station","MFL"
"838","2014","08","11","Erie Torresdale Station","MFL"
"838","2014","08","31","Erie Torresdale Station","MFL"
"838","2014","09","01","Erie Torresdale Station","MFL"
"838","2014","10","07","Erie Torresdale Station","MFL"
"838","2014","10","14","Erie Torresdale Station","MFL"
"838","2014","10","17","Erie Torresdale Station","MFL"
"838","2014","10","19","Erie Torresdale Station","MFL"
"838","2014","11","28","Erie Torresdale Station","MFL"
